year	id	treat	pop	origin	temp	date	offspring	
2015	0105	Ctrl	C1	C30	30	28-Dec	78	
2015	0104	Ctrl	C1	C30	30	28-Dec	80	
2015	0109	Ctrl	C1	C30	30	28-Dec	82	
2015	0108	Ctrl	C1	C30	30	28-Dec	88	
2015	0100	Ctrl	C1	C30	30	28-Dec	92	
2015	0103	Ctrl	C1	C30	30	28-Dec	94	
2015	0107	Ctrl	C1	C30	30	28-Dec	102	
2015	0113	20Gy	C1	C30	30	28-Dec	30	
2015	0119	20Gy	C1	C30	30	28-Dec	33	
2015	0111	20Gy	C1	C30	30	28-Dec	35	
2015	0118	20Gy	C1	C30	30	28-Dec	40	
2015	0120	20Gy	C1	C30	30	28-Dec	42	
2015	0117	20Gy	C1	C30	30	28-Dec	48	
2015	0116	20Gy	C1	C30	30	28-Dec	49	
2015	0115	20Gy	C1	C30	30	28-Dec	50	
2015	0114	20Gy	C1	C30	30	28-Dec	56	
2015	0110	20Gy	C1	C30	30	28-Dec	69	
2015	0101	20Gy	C1	C30	30	28-Dec	84	
2015	0099	20Gy	C1	C30	30	28-Dec	96	
2015	0167	Ctrl	C1	C30	30	29-Dec	0	
2015	0162	Ctrl	C1	C30	30	29-Dec	74	
2015	0168	Ctrl	C1	C30	30	29-Dec	76	
2015	0161	Ctrl	C1	C30	30	29-Dec	82	
2015	0163	Ctrl	C1	C30	30	29-Dec	82	
2015	0166	Ctrl	C1	C30	30	29-Dec	84	
2015	0164	Ctrl	C1	C30	30	29-Dec	90	
2015	0165	Ctrl	C1	C30	30	29-Dec	92	
2015	0169	Ctrl	C1	C30	30	29-Dec	92	
2015	0170	Ctrl	C1	C30	30	29-Dec	100	
2015	0160	20Gy	C1	C30	30	29-Dec	0	
2015	0159	20Gy	C1	C30	30	29-Dec	25	
2015	0150	20Gy	C1	C30	30	29-Dec	25	
2015	0152	20Gy	C1	C30	30	29-Dec	32	
2015	0157	20Gy	C1	C30	30	29-Dec	40	
2015	0156	20Gy	C1	C30	30	29-Dec	41	
2015	0376	20Gy	C1	C30	30	29-Dec	41	
2015	0151	20Gy	C1	C30	30	29-Dec	42	
2015	0154	20Gy	C1	C30	30	29-Dec	44	
2015	0158	20Gy	C1	C30	30	29-Dec	46	
2015	0153	20Gy	C1	C30	30	29-Dec	51	
2015	0155	20Gy	C1	C30	30	29-Dec	53	
2015	0372	Ctrl	C1	C30	30	30-Dec	70	
2015	0373	Ctrl	C1	C30	30	30-Dec	76	
2015	0374	Ctrl	C1	C30	30	30-Dec	88	
2015	0370	Ctrl	C1	C30	30	30-Dec	90	
2015	0350	Ctrl	C1	C30	30	30-Dec	92	
2015	0360	Ctrl	C1	C30	30	30-Dec	100	
2015	0400	20Gy	C1	C30	30	30-Dec	36	
2015	0390	20Gy	C1	C30	30	30-Dec	46	
2015	0375	20Gy	C1	C30	30	30-Dec	48	
2015	0380	20Gy	C1	C30	30	30-Dec	50	
2016	82	20Gy	C1	C30	30	27-jan	24	
2016	123	20Gy	C1	C30	30	27-jan	31	
2016	140	20Gy	C1	C30	30	27-jan	35	
2016	173	20Gy	C1	C30	30	27-jan	41	
2016	231	20Gy	C1	C30	30	27-jan	51	
2016	232	20Gy	C1	C30	30	27-jan	51	
2016	233	20Gy	C1	C30	30	27-jan	51	
2016	240	20Gy	C1	C30	30	27-jan	53	
2016	250	20Gy	C1	C30	30	27-jan	56	
2016	251	20Gy	C1	C30	30	27-jan	56	
2016	261	20Gy	C1	C30	30	27-jan	60	
2016	262	20Gy	C1	C30	30	27-jan	60	
2016	292	20Gy	C1	C30	30	27-jan	72	
2016	30	Ctrl	C1	C30	30	27-jan	0	
2016	287	Ctrl	C1	C30	30	27-jan	71	
2016	319	Ctrl	C1	C30	30	27-jan	79	
2016	329	Ctrl	C1	C30	30	27-jan	82	
2016	343	Ctrl	C1	C30	30	27-jan	86	
2016	347	Ctrl	C1	C30	30	27-jan	87	
2016	348	Ctrl	C1	C30	30	27-jan	87	
2016	350	Ctrl	C1	C30	30	27-jan	88	
2016	353	Ctrl	C1	C30	30	27-jan	90	
2016	360	Ctrl	C1	C30	30	27-jan	93	
2016	361	Ctrl	C1	C30	30	27-jan	93	
2016	365	Ctrl	C1	C30	30	27-jan	97	
2016	366	Ctrl	C1	C30	30	27-jan	97	
2016	375	Ctrl	C1	C30	30	27-jan	102	
2016	378	Ctrl	C1	C30	30	27-jan	105	
2016	379	Ctrl	C1	C30	30	27-jan	106	
2016	135	20Gy	C1	C30	30	28-jan	34	
2016	152	20Gy	C1	C30	30	28-jan	37	
2016	168	20Gy	C1	C30	30	28-jan	40	
2016	169	20Gy	C1	C30	30	28-jan	40	
2016	174	20Gy	C1	C30	30	28-jan	41	
2016	193	20Gy	C1	C30	30	28-jan	44	
2016	207	20Gy	C1	C30	30	28-jan	46	
2016	218	20Gy	C1	C30	30	28-jan	49	
2016	224	20Gy	C1	C30	30	28-jan	50	
2016	225	20Gy	C1	C30	30	28-jan	50	
2016	234	20Gy	C1	C30	30	28-jan	51	
2016	235	20Gy	C1	C30	30	28-jan	51	
2016	242	20Gy	C1	C30	30	28-jan	54	
2016	243	20Gy	C1	C30	30	28-jan	54	
2016	244	20Gy	C1	C30	30	28-jan	54	
2016	245	20Gy	C1	C30	30	28-jan	54	
2016	247	20Gy	C1	C30	30	28-jan	55	
2016	271	20Gy	C1	C30	30	28-jan	63	
2016	272	20Gy	C1	C30	30	28-jan	63	
2016	273	20Gy	C1	C30	30	28-jan	63	
2016	213	Ctrl	C1	C30	30	28-jan	47	
2016	297	Ctrl	C1	C30	30	28-jan	74	
2016	323	Ctrl	C1	C30	30	28-jan	80	
2016	324	Ctrl	C1	C30	30	28-jan	80	
2016	330	Ctrl	C1	C30	30	28-jan	82	
2016	369	Ctrl	C1	C30	30	28-jan	99	
2016	370	Ctrl	C1	C30	30	28-jan	100	
2016	371	Ctrl	C1	C30	30	28-jan	100	
2016	377	Ctrl	C1	C30	30	28-jan	103	
2016	380	Ctrl	C1	C30	30	28-jan	106	
2015	0006	Ctrl	C1	C36	30	28-Dec	0	
2015	0003	Ctrl	C1	C36	30	28-Dec	58	
2015	0009	Ctrl	C1	C36	30	28-Dec	70	
2015	0005	Ctrl	C1	C36	30	28-Dec	72	
2015	0007	Ctrl	C1	C36	30	28-Dec	76	
2015	0002	Ctrl	C1	C36	30	28-Dec	80	
2015	0024	20Gy	C1	C36	30	28-Dec	0	
2015	0021	20Gy	C1	C36	30	28-Dec	34	
2015	0014	20Gy	C1	C36	30	28-Dec	38	
2015	0011	Ctrl	C1	C36	36	28-Dec	0	
2015	0010	Ctrl	C1	C36	36	28-Dec	50	
2015	0012	Ctrl	C1	C36	36	28-Dec	50	
2015	0015	Ctrl	C1	C36	36	28-Dec	50	
2015	0001	Ctrl	C1	C36	36	28-Dec	62	
2015	0008	Ctrl	C1	C36	36	28-Dec	64	
2015	0023	20Gy	C1	C36	36	28-Dec	14	
2015	0017	20Gy	C1	C36	36	28-Dec	23	
2015	0020	20Gy	C1	C36	36	28-Dec	30	
2015	0244	Ctrl	C1	C36	30	29-Dec	0	
2015	0242	Ctrl	C1	C36	30	29-Dec	62	
2015	0243	Ctrl	C1	C36	30	29-Dec	86	
2015	0246	Ctrl	C1	C36	30	29-Dec	90	
2015	0249	20Gy	C1	C36	30	29-Dec	33	
2015	0252	20Gy	C1	C36	30	29-Dec	40	
2015	0241	Ctrl	C1	C36	36	29-Dec	50	
2015	0240	Ctrl	C1	C36	36	29-Dec	66	
2015	0247	Ctrl	C1	C36	36	29-Dec	66	
2015	0245	Ctrl	C1	C36	36	29-Dec	72	
2015	0250	20Gy	C1	C36	36	29-Dec	0	
2015	0248	20Gy	C1	C36	36	29-Dec	12	
2015	0251	20Gy	C1	C36	36	29-Dec	35	
2015	0552	Ctrl	C1	C36	30	30-Dec	0	
2015	0543	20Gy	C1	C36	30	30-Dec	17	
2015	0542	20Gy	C1	C36	30	30-Dec	32	
2015	0551	Ctrl	C1	C36	36	30-Dec	69	
2015	0544	20Gy	C1	C36	36	30-Dec	23	
2015	0674	20Gy	C1	C36	36	30-Dec	25	
2015	0677	20Gy	C1	C36	30	31-Dec	16	
2015	0676	20Gy	C1	C36	30	31-Dec	25	
2015	0672	Ctrl	C1	C36	36	31-Dec	74	
2015	0675	20Gy	C1	C36	36	31-Dec	0	
2015	0673	20Gy	C1	C36	36	31-Dec	25	
2016	35	20Gy	C1	C36	30	26-jan	3	
2016	57	20Gy	C1	C36	30	26-jan	15	
2016	81	20Gy	C1	C36	30	26-jan	24	
2016	98	20Gy	C1	C36	30	26-jan	29	
2016	109	20Gy	C1	C36	30	26-jan	30	
2016	120	20Gy	C1	C36	30	26-jan	31	
2016	133	20Gy	C1	C36	30	26-jan	34	
2016	177	20Gy	C1	C36	30	26-jan	42	
2016	8	Ctrl	C1	C36	30	26-jan	0	
2016	9	Ctrl	C1	C36	30	26-jan	0	
